area,link,location,name,number_of_bathrooms,number_of_bedrooms,price_per_metter
60,https://meeyland.com//ban-dat-tang-nha-4-tang-khu-vuc-phuong-viet-hung-long-bien-1700468435154,"Long Biên, Hà Nội",Bán đất tặng nhà 4 tầng khu vực phường Việt Hưng - Long Biên,,,
78,https://meeyland.com//nha-dep-doc-nhat-vo-nhi-noi-that-vip-gia-chat-cau-giay-78m2-1700468387902,"Cầu Giấy, Hà Nội","Nhà đẹp, độc nhất vô nhị, nội thất vip, giá chất Cầu Giấy 78m2",,4,
60,https://meeyland.com//ban-nha-phan-lo-pho-thach-ban-dien-tich-60m2-6-tang-thang-may-gara-o-to-1700468375029,"Long Biên, Hà Nội","Bán nhà phân lô phố Thạch Bàn - Diện tích 60m2, 6 tầng, thang máy, gara ô tô",,,
69,https://meeyland.com//ban-nha-nguyen-khanh-toan-cau-giay-69m2-1700468248701,"Cầu Giấy, Hà Nội","Bán nhà Nguyễn Khánh Toàn, Cầu Giấy 69m2",3,4,
55,https://meeyland.com//ban-nha-pho-bo-de-long-bien-1700468249171,"Long Biên, Hà Nội",Bán nhà phố Bồ Đề - Long Biên,,4,
56,https://meeyland.com//5-ty-nhinh-co-ngay-nha-4-lau-5-phong-va-6wc-noi-khu-an-ninh-ngay-aeon-tan-phu-1700468170825,"Bình Tân, Hồ Chí Minh","Nhà 4 lầu, 5 phòng và 6 vệ sinh nội khu an ninh ngay Aeon Tân Phú",,6,"94,64 Tr/m²"
70,https://meeyland.com//nha-dep-5-tang-thach-ban-long-bien-1700468165661,"Long Biên, Hà Nội",Nhà đẹp 5 tầng - Thạch Bàn - Long Biên,3,3,
30,https://meeyland.com//chu-ngop-ban-gap-nha-chien-luoc-1-tret-2-lau-st-hem-xe-hoi-tl-manh-1700468140666,"Bình Tân, Hồ Chí Minh",Chủ Ngộp Bán Gấp Nhà Chiến Lược - 1 Trệt 2 Lầu ST -Hẻm Xe Hơi- Tl mạnh,3,4,121 Tr/m²
69,https://meeyland.com//ban-nha-nguyen-khanh-toan-69m2-4-tang-mat-tien-5-5m-1700468098073,"Cầu Giấy, Hà Nội","Bán nhà Nguyễn Khánh Toàn, 69m2, 4 tầng, mặt tiền 5,5m",,,"89,86 Tr/m²"
50,https://meeyland.com//ban-nha-ngo-gia-tu-long-bien-50m2-x-4-tang-lo-goc-nha-dep-an-sinh-dinh-nhinh-4-ty-1700472372931,"Long Biên, Hà Nội","Bán nhà Ngô Gia Tự, Long Biên, 50m2 x 4 tầng, LÔ GÓC, Nhà ĐẸP, AN SINH ĐỈNH, Nhỉnh 4 tỷ",4,4,90 Tr/m²
38,https://meeyland.com//ban-luon-nha-mat-ngo-99-tan-mai-thong-ngo-493-truong-dinh-38m-6t-10m-ra-mp-tan-mai-hoang-mai-1700472257529,"Hoàng Mai, Hà Nội","Bán  luôn nhà Mặt ngõ 99 Tân Mai thông ngõ 493 Trương Định 38M × 6T. 10M ra MP Tân Mai, Hoàng Mai,",5,6,139 Tr/m²
60,https://meeyland.com//60m2-3-tang-tang-noi-that-an-ninh-chi-6-ty-quan-binh-thanh-1700472266599,"Bình Thạnh, Hồ Chí Minh",60m2 - 3 tầng - tặng nội thất - an ninh - chỉ 6 tỷ quận bình thạnh,,,100 Tr/m²
40,https://meeyland.com//nha-moi-dep-o-ngay-hem-thong-3-phong-ngu-huynh-dinh-hai-4-3-x-10-1700472026878,"Bình Thạnh, Hồ Chí Minh","Nhà mới đẹp ở ngay -  hẻm thông - 3 phòng ngủ - huỳnh đình hai ( 4,3 x 10 )",,,"121,25 Tr/m²"
48,https://meeyland.com//nha-dep-don-tet-ban-nha-moi-4-tang-hai-ba-trung-48m2-ngang-4m-7-8-ty-tl-1700471972573,"Quận 3, Hồ Chí Minh","NHÀ ĐẸP ĐÓN TẾT! Bán Nhà Mới 4 Tầng Hai Bà Trưng, 48m2, Ngang 4m, 7.8 Tỷ TL",,,"162,5 Tr/m²"
60,https://meeyland.com//can-ban-gap-nha-c4-gac-lung-long-binh-bien-hoa-60m2-chi-2-1-ty-1700472016531,"Biên Hòa, Đồng Nai","Cần Bán Gấp Nhà C4 Gác Lửng Long Bình Biên Hòa 60m2 Chỉ 2,1 Tỷ ",2,2,35 Tr/m²
39,https://meeyland.com//ban-nha-rieng-quan-nam-tu-liem-39m2-1700471813063,"Nam Từ Liêm, Hà Nội",Bán nhà riêng Quận Nam Từ Liêm - 39m2,,,"99,49 Tr/m²"
80,https://meeyland.com//trung-tam-binh-thanh-nha-3-tang-moi-xin-khu-vuc-an-ninh-dan-tri-1700471795920,"Bình Thạnh, Hồ Chí Minh","Trung tâm bình thạnh - nhà 3 tầng mới xịn - khu vực an ninh, dân trí.",,,115 Tr/m²
37,https://meeyland.com//ban-nhanh-nha-mat-ngo-99-tan-mai-thong-ngo-493-truong-dinh-37m-6t-10m-ra-mp-tan-mai-1700471683780,"Hoàng Mai, Hà Nội",Bán  nhanh nhà Mặt ngõ 99 Tân Mai thông ngõ 493 Trương Định 37M × 6T. 10M ra MP Tân Mai,4,6,"142,73 Tr/m²"
83,https://meeyland.com//ban-nha-mat-tien-kinh-doanh-hoang-dieu-2-linh-chieu-83m2-6t-dong-tien-cao-chi-9-8-ty-1700471658578,"Thủ Đức, Hồ Chí Minh","Bán nhà Mặt Tiền Kinh doanh Hoàng Diệu 2,Linh Chiểu 83m2 6T DÒNG TIỀN CAO chỉ 9,8 Tỷ",10,9,"118,07 Tr/m²"
31,https://meeyland.com//ban-nha-rieng-quan-nam-tu-liem-mat-ngo-o-to-kinh-doanh-1700471689870,"Nam Từ Liêm, Hà Nội",Bán nhà riêng Quận Nam Từ Liêm. Mặt ngõ ô tô - Kinh doanh,,,"191,94 Tr/m²"
81,https://meeyland.com//nha-dep-5-tang-hem-8m-xe-hoi-tranh-nhau-nhinh-9-ty-1700471657519,"Tân Bình, Hồ Chí Minh",Nhà đẹp 5 tầng - hẻm 8m - xe hơi tránh nhau - nhỉnh 9 tỷ,,,
26,https://meeyland.com//chi-3-9-ty-co-nha-hem-xe-hoi-thong-ngay-le-quang-dinh-4-tang-3pn-4wc-dtsd-80m2-tang-full-noi-t-1700471649239,"Bình Thạnh, Hồ Chí Minh","Chỉ 3,9 TỶ CÓ NHÀ HẺM XE HƠI THÔNG NGAY LÊ QUANG ĐỊNH - 4 TẦNG 3PN 4WC - DTSD 80M2 - TẶNG FULL NỘI T",,,"1,5 Tỷ/m²"
86,https://meeyland.com//nha-7-tang-cho-thue-dau-tu-thap-doanh-thu-cao-1700471593801,"Nam Từ Liêm, Hà Nội","Nhà 7 tầng cho thuê, đầu tư thấp doanh thu cao",,,"125,58 Tr/m²"
64,https://meeyland.com//chinh-chu-toi-ban-can-nha-3-tang-1700471474101,"Nam Từ Liêm, Hà Nội",Chính chủ tôi bán căn nhà 3 tầng,,,"153,13 Tr/m²"
83,https://meeyland.com//trung-tam-go-vap-giap-binh-thanh-3-tang-83m2-ngang-7-5m-chi-7-ty-1700471385594,"Gò Vấp, Hồ Chí Minh","Trung Tâm Gò Vấp Giáp Bình Thạnh, 3 Tầng 83m2, Ngang 7.5m Chỉ 7 TỶ",5,6,"84,34 Tr/m²"
36,https://meeyland.com//chi-2-5-ty-co-ngay-nha-hiep-thanh-quan-12-hem-xe-hoi-so-hong-rieng-1700471374123,"Quận 12, Hồ Chí Minh","Chỉ 2.5 tỷ có ngay nhà Hiệp Thành Quận 12, Hẻm xe hơi Sổ Hồng riêng",2,2,"69,44 Tr/m²"
58,https://meeyland.com//ban-nha-ngo-253-duong-xuan-phuong-dien-tich-58m2-1700471386857,"Nam Từ Liêm, Hà Nội","Bán nhà ngõ 253 đường Xuân Phương, diện tích 58m2",,3,"77,59 Tr/m²"
55,https://meeyland.com//ban-55m2-dat-phung-chau-full-tho-cu-gan-uy-ban-xa-gia-17tr-1700471294296,"Chương Mỹ, Hà Nội","Bán 55m2 đất Phụng Châu, full thổ cư, gần ủy ban xã, giá 17tr",2,3,17 Tr/m²
30,https://meeyland.com//nha-dep-6-tang-dien-tich-30m2-1700471287620,"Nam Từ Liêm, Hà Nội","Nhà đẹp 6 tầng, diện tích 30m2",,,"128,33 Tr/m²"
192,https://meeyland.com//ban-nha-tran-duy-hung-192m2-3-tang-1700467157560,"Cầu Giấy, Hà Nội","Bán nhà Trần Duy Hưng 192m2, 3 tầng",,3,"80,73 Tr/m²"
33,https://meeyland.com//ban-nha-ngoc-lam-nguyen-van-cu-1700467091171,"Long Biên, Hà Nội",Bán nhà Ngọc Lâm - Nguyễn Văn Cừ,,,
80,https://meeyland.com//binh-thanh-duong-bui-dinh-tuy-chu-van-an-hxh-7-cho-80m2-chi-12-8-ty-1700467079127,"Bình Thạnh, Hồ Chí Minh",Bình Thạnh đường Bùi Đình Túy – Chu Văn An hẻm xe hơi 7 chỗ,,,160 Tr/m²
192,https://meeyland.com//cuc-hiem-tran-duy-hung-gia-chat-mat-ngo-nha-dep-gan-o-to-1700467048896,"Cầu Giấy, Hà Nội","Cực hiếm Trần Duy Hưng, giá chất, mặt ngõ, nhà đẹp, gần ô tô",,,
42,https://meeyland.com//ban-nhanh-nha-tu-dinh-42m2-1700466984129,"Long Biên, Hà Nội","Bán nhanh nhà Tư Đình, 42m2",,,
40,https://meeyland.com//ban-nha-hxh-duong-le-dai-hanh-p11-quan-11-dt-5x8m-gia-5-8-ty-tl-0888712323-1700466963224,"Quận 11, Hồ Chí Minh","Bán nhà HXH đường Lê Đại Hành, P11, Quận 11, DT: 5x8m, giá 5,8 tỷ TL (0888712323)",2,2,145 Tr/m²
40,https://meeyland.com//ban-nha-ngo-van-huong-dien-tich-40m2-3-tang-mat-tien-5-2m-1700466887951,"Đống Đa, Hà Nội","Bán nhà ngõ Văn Hương, diện tích 40m2, 3 tầng, mặt tiền 5,2m",2,4,"77,5 Tr/m²"
35,https://meeyland.com//ban-gap-nha-nguyen-van-cu-long-bien-o-to-do-cong-35m2-5-tang-4-15-ty-1700466817051,"Long Biên, Hà Nội","Bán gấp nhà Nguyễn Văn Cừ, Long Biên, ô tô đỗ cổng, 35m2, 5 tầng, 4,15 tỷ",,,"118,57 Tr/m²"
36,https://meeyland.com//ban-nha-cau-giay-vi-tri-dep-ngo-rong-gan-pho-di-lai-thuan-tien-1700466828960,"Cầu Giấy, Hà Nội","Bán nhà Cầu Giấy vị trí đẹp, ngõ rộng, gần phố, đi lại thuận tiện",,3,
56,https://meeyland.com//chu-xay-tho-xong-muon-dinh-cu-nuoc-ngoai-giam-chao-n-a-ti-ngo-521-truong-dinh-1700466662312,"Hoàng Mai, Hà Nội","Chủ xây thô xong muốn định cư nước ngoài, giảm chào nửa tỉ ngõ 521 trương định",,,125 Tr/m²
36,https://meeyland.com//nha-cau-giay-lo-goc-gan-pho-thoang-sang-o-suong-1700466714320,"Cầu Giấy, Hà Nội","Nhà Cầu Giấy, lô góc, gần phố, thoáng sáng, ở sướng",,3,
46,https://meeyland.com//ban-nha-pho-co-46m2-1700466656850,"Hoàn Kiếm, Hà Nội","Bán nhà phố cổ, 46m2",,,
45,https://meeyland.com//nha-dep-ngo-155-cau-giay-45m2-5-tang-6-phong-ngu-1700466642235,"Cầu Giấy, Hà Nội","Nhà đẹp ngõ 155 Cầu Giấy, 45m2, 5 tầng, 6 phòng ngủ",,6,
100,https://meeyland.com//hem-xe-hoi-ban-nha-hxh-to-hien-thanh-phuong-14-quan-10-5x20-sat-mat-tien-1700466583015,"Quận 10, Hồ Chí Minh","Bán nhà hẻm xe hơi Tô Hiến Thành, Phường 14, Quận 10, 5m x 20m, sát mặt tiền",5,5,118 Tr/m²
42,https://meeyland.com//ban-nha-ngo-521-truong-dinh-to-nhu-pho-oto-tai-tranh-dau-xe-cach-10m-1700466382778,"Hoàng Mai, Hà Nội","Bán nhà ngõ 521 trương định to như phố, oto tải tránh, đậu xe cách 10m.",,,"151,19 Tr/m²"
52,https://meeyland.com//ban-nha-nguyen-khang-52m2-lo-goc-1700466395035,"Cầu Giấy, Hà Nội","Bán nhà Nguyễn Khang, 52m2, lô góc",,,
60,https://meeyland.com//ban-gap-nha-cau-giay-60m2-ngo-thong-kinh-doanh-o-to-tranh-1700466250431,"Cầu Giấy, Hà Nội","Bán gấp nhà Cầu Giấy, 60m2, ngõ thông kinh doanh, ô tô tránh",,,
64,https://meeyland.com//ban-nha-hxh-duong-le-dai-hanh-p11-quan-11-dt-4x16m-nhinh-7-x-ty-1700466206059,"Quận 11, Hồ Chí Minh","Bán nhà HXH đường Lê Đại Hành, P11. Quận 11, DT: 4x16m nhỉnh 7.x tỷ",,,"121,88 Tr/m²"
61,https://meeyland.com//ban-nha-cau-giay-mat-ngo-cuc-hiem-61m2-1700466100370,"Cầu Giấy, Hà Nội","Bán nhà Cầu Giấy, mặt ngõ cực hiếm, 61m2",,,
36,https://meeyland.com//ban-nhanh-nha-dep-lo-goc-khu-vip-ha-hoi-ngo-2-3m-1700466244883,"Hoàn Kiếm, Hà Nội","Bán nhanh nhà đẹp, lô góc khu vip Hạ Hồi ngõ 2,3m",,,"230,56 Tr/m²"
24,https://meeyland.com//can-tien-ban-gap-nha-phuong-chuong-duong-1700466155190,"Hoàn Kiếm, Hà Nội",Cần tiền bán gấp nhà phường Chương Dương,3,3,
36,https://meeyland.com//hiem-co-kho-tim-o-to-do-cua-15m-ra-mat-pho-gia-bat-ngo-ly-nam-de-36m2-x-4-tang-1700466044484,"Hoàn Kiếm, Hà Nội",Hiếm có khó tìm - ô tô đỗ cửa - 15m ra mặt phố - giá bất ngờ Lý Nam Đế 36m2 x 4 tầng,4,5,
44,https://meeyland.com//can-ban-nha-phao-dai-lang-gara-o-to-1700465977851,"Đống Đa, Hà Nội",Cần bán nhà Pháo Đài Láng gara ô tô,,,
39,https://meeyland.com//ban-gap-nha-pho-co-lo-goc-ngo-lon-sat-o-to-tranh-cach-ho-guom-gan-500m-3-ngu-o-luon-1700465940706,"Hoàn Kiếm, Hà Nội","Bán gấp nhà phố cổ lô góc ngõ lớn sát ô tô tránh cách Hồ Gươm gần 500m, 3 ngủ ở luôn",,,"130,77 Tr/m²"
68,https://meeyland.com//ban-nha-cau-giay-vi-tri-hiem-cuc-dep-1700465823512,"Cầu Giấy, Hà Nội","Bán nhà Cầu Giấy vị trí hiếm, cực đẹp",,,
44,https://meeyland.com//nha-vi-tri-rat-dep-thuoc-trung-tam-pho-co-1700465841763,"Hoàn Kiếm, Hà Nội","Nhà vị trí rất đẹp, thuộc trung tâm phố cổ",,,"272,73 Tr/m²"
41,https://meeyland.com//nha-tan-mai-hoang-mai-41m2-5-tang-ngo-kinh-doanh-tot-1700465807197,"Hoàng Mai, Hà Nội","Nhà Tân Mai, Hoàng Mai 41m2, 5 tầng, ngõ kinh doanh tốt",4,3,"125,61 Tr/m²"
52,https://meeyland.com//ho-khau-pho-co-2-mat-ngo-tien-ich-ngut-ngan-hiem-1700465688375,"Hoàn Kiếm, Hà Nội",Hộ khẩu phố cổ - 2 mặt ngõ - tiện ích ngút ngàn - hiếm,,,"169,23 Tr/m²"
68,https://meeyland.com//sieu-pham-cau-giay-sat-duong-doi-sap-mo-1700465676470,"Cầu Giấy, Hà Nội","Siêu phẩm Cầu Giấy, sát đường đôi sắp mở",,,
260,https://meeyland.com//apartment-mat-pho-tu-hoa-quang-an-view-ho-tay-260m2-5t-mt-11-5m-chi-216-ty-1700465622687,"Tây Hồ, Hà Nội","Apartment mặt phố Từ Hoa, Quảng An, view Hồ Tây, 260m2 5 tầng mặt tiền 11.5m, chỉ 216 tỷ",8,8,"830,77 Tr/m²"
64,https://meeyland.com//ban-nha-hxh-duong-binh-thoi-phuong-10-quan-11-dt-4x16m-7-5-ty-1700465602567,"Quận 11, Hồ Chí Minh","Bán nhà HXH đường Bình Thới, Phường 10, Quận 11, DT: 4x16m, 7,5 tỷ",,,"117,19 Tr/m²"
118,https://meeyland.com//ban-nha-dep-ngo-thong-o-to-tranh-118m-duong-giai-phong-hoang-mai-gia-dau-tu-chi-nhinh-10-ty-1700465530080,"Hoàng Mai, Hà Nội","Bán nhà đẹp ngõ thông ô tô tránh 118m2, đường Giải Phóng, Hoàng Mai, giá đầu tư, chỉ 10 tỷ",4,4,"88,98 Tr/m²"
45,https://meeyland.com//can-thanh-khoan-can-nha-dep-trung-tam-cau-giay-1700465558946,"Cầu Giấy, Hà Nội",Cần thanh khoản căn nhà đẹp trung tâm Cầu Giấy,,,
70,https://meeyland.com//ban-nha-lien-ke-90-nguyen-tuan-vi-tri-dep-o-to-tranh-kinh-doanh-dinh-70m2-5-tang-28-ty-1700465414845,"Thanh Xuân, Hà Nội","Bán nhà liên kề 90 Nguyễn Tuân, vị trí đẹp ô tô tránh, kinh doanh đỉnh, 70m2, 5 tầng, 28 tỷ",5,5,400 Tr/m²
50,https://meeyland.com//ban-nha-cau-giay-5-tang-so-vuong-dan-tri-cao-1700465438606,"Cầu Giấy, Hà Nội","Bán nhà Cầu Giấy, 5 tầng, sổ vuông, dân trí cao",,,
50,https://meeyland.com//sieu-pham-phan-lo-o-to-tranh-vao-nha-dai-tu-nguyen-huu-tho-1700465372471,"Hoàng Mai, Hà Nội","Siêu phẩm phân lô ô tô tránh vào nhà Đại Từ, Nguyễn Hữu Thọ",,,148 Tr/m²
38,https://meeyland.com//ban-nha-dep-5-tang-pho-hang-vai-trung-tam-pho-co-1700465339276,"Hoàn Kiếm, Hà Nội","Bán nhà đẹp 5 tầng phố Hàng Vải, trung tâm phố cổ",,,"460,53 Tr/m²"
50,https://meeyland.com//vi-tri-trung-tam-cau-giay-ngo-o-to-tranh-nha-dep-5-tang-1700465308101,"Cầu Giấy, Hà Nội","Vị trí trung tâm Cầu Giấy, ngõ ô tô tránh, nhà đẹp 5 tầng",,,
60,https://meeyland.com//ban-nha-rieng-tai-phuong-tuong-mai-quan-hoang-mai-1700465331833,"Hoàng Mai, Hà Nội","Bán nhà riêng tại phường Tương Mai, quận Hoàng Mai",,,"89,17 Tr/m²"
72,https://meeyland.com//ban-nha-tan-mai-72m2-1700465250144,"Hoàng Mai, Hà Nội","Bán nhà, Tân Mai, 72m2",,,"140,28 Tr/m²"
50,https://meeyland.com//ban-nha-quan-long-bien-o-to-vao-nha-50m2-x-4-tang-gia-6-ty-1700468024911,"Long Biên, Hà Nội",Bán nhà quận Long Biên ô tô vào nhà 50m2 x 4 tầng - giá 6 tỷ,,,120 Tr/m²
69,https://meeyland.com//sieu-hiem-cau-giay-gan-pho-o-luon-1700467947638,"Cầu Giấy, Hà Nội","Siêu hiếm Cầu Giấy, gần phố, ở luôn",,,
49,https://meeyland.com//ban-nha-thinh-quang-nga-tu-so-dien-tich-49m2-4-tang-1700467944292,"Đống Đa, Hà Nội","Bán nhà Thịnh Quang, Ngã Tư Sở, diện tích 49m2, 4 tầng",,,
40,https://meeyland.com//ban-nha-dep-ngoc-thuy-40m2-4-tang-full-noi-that-hien-dai-mat-ngo-o-to-7-cho-1700467892175,"Long Biên, Hà Nội","Bán nhà đẹp Ngọc Thụy 40m2, 4 tầng, full nội thất hiện đại mặt ngõ ô tô 7 chỗ",,,
33,https://meeyland.com//ban-dat-tang-nha-2-2x-ty-nha-van-tien-dung-bac-tu-liem-33m2-ngay-truong-nguyen-thi-minh-khai-1700467818642,"Bắc Từ Liêm, Hà Nội",Bán Đất tặng nhà 2.2x tỷ nhà Văn Tiến Dũng Bắc Từ Liêm 33m2 ngay trường Nguyễn Thị Minh Khai,1,1,"68,18 Tr/m²"
75,https://meeyland.com//ban-nha-tran-duy-hung-75m2-1700467825692,"Cầu Giấy, Hà Nội",Bán nhà Trần Duy Hưng 75m2,,,
60,https://meeyland.com//nha-mat-pho-yen-phu-lo-goc-kinh-doanh-1700467819864,"Tây Hồ, Hà Nội","Nhà mặt phố Yên Phụ, lô góc, kinh doanh",,,375 Tr/m²
60,https://meeyland.com//ban-nha-hxh-duong-nguyen-chi-thanh-p16-quan-11-dt-4x15m-6-5-ty-1700467565274,"Quận 11, Hồ Chí Minh","Bán nhà HXH đường Nguyễn Chí Thanh, P16,, Quận 11, DT: 4x15m, 6.5 tỷ",1,1,"108,33 Tr/m²"
35,https://meeyland.com//ban-nha-phan-lo-trung-kinh-o-to-do-cua-kinh-doanh-duoc-nhinh-6-ty-1700467585263,"Cầu Giấy, Hà Nội","Bán nhà phân lô Trung Kính, ô tô đỗ cửa, kinh doanh được, nhỉnh 6 tỷ",,,"191,43 Tr/m²"
47,https://meeyland.com//ban-nha-tu-lien-tay-ho-nha-dep-o-ngay-1700467608015,"Tây Hồ, Hà Nội","Bán nhà Tứ Liên, Tây Hồ, nhà đẹp ở ngay",2,4,"116,6 Tr/m²"
46,https://meeyland.com//nha-dep-46m2-x-5-tang-trungtaam-ngoc-thuy-ngo-oto-tranh-nhinh-6-ty-1700467539356,"Long Biên, Hà Nội","Nhà đẹp 46m2 x 5 tầng, trung tâm Ngọc Thụy, ngõ ô tô tránh",5,4,"130,43 Tr/m²"
75,https://meeyland.com//tran-duy-hung-mot-nha-ra-pho-nha-dep-thang-may-noi-that-vip-kinh-doanh-1700467445258,"Cầu Giấy, Hà Nội","Trần Duy Hưng một nhà ra phố, nhà đẹp, thang máy, nội thất vip, kinh doanh",,4,
100,https://meeyland.com//hem-xe-hoi-ban-nha-hxh-to-hien-thanh-phuong-14-quan-10-60m2-sat-mat-tien-chi-nhinh-8-ty-1700467439157,"Quận 10, Hồ Chí Minh","Bán nhà hẻm xe hơi Tô Hiến Thành, Phường 14, Quận 10, 60m2, sát mặt tiền chỉ 8,5 tỷ",2,3,85 Tr/m²
48,https://meeyland.com//nha-2-tang-hem-o-to-tranh-gan-chung-cu-celadon-3-3-ty-1700467401441,"Tân Phú, Hồ Chí Minh","Nhà 2 tầng hẻm ô tô tránh, gần chung cư Celadon, 3.3 tỷ",2,2,"68,75 Tr/m²"
50,https://meeyland.com//ban-nha-dep-pho-ngoc-thuy-1700467358116,"Long Biên, Hà Nội",Bán nhà đẹp phố Ngọc Thụy,,,56 Tr/m²
39,https://meeyland.com//ban-nha-lac-long-quan-lo-goc-mt-4-5m-o-to-do-gan-nha-nhinh-6-ty-1700467361887,"Cầu Giấy, Hà Nội","Bán nhà Lạc Long Quân, lô góc, MT 4,5m, ô tô đỗ gần nhà, nhỉnh 6 tỷ",,,"174,36 Tr/m²"
192,https://meeyland.com//ban-nha-dep-tran-duy-hung-cuc-hiem-gan-o-to-1700467311115,"Cầu Giấy, Hà Nội","Bán nhà đẹp Trần Duy Hưng cực hiếm, gần ô tô",,3,
25,https://meeyland.com//2-7-ty-ban-nha-so-do-25m-ngo-1-bui-xuong-trach-2-ngu-so-do-vuong-dep-nhu-hinh-1700307314620,"Thanh Xuân, Hà Nội","2,7 tỷ, bán nhà sổ đỏ 25m2 ngõ 1 Bùi Xương Trạch, 2 ngủ, sổ đỏ vuông đẹp như hình",2,2,108 Tr/m²
30,https://meeyland.com//ban-nha-nghia-dung-ba-dinh-ngo-rong-nha-cuc-dep-dan-tri-cao-1700467216626,"Đống Đa, Hà Nội","Bán nhà Nghĩa Dũng, Ba Đình, ngõ rộng, nhà cực đẹp, dân trí cao",,,
35,https://meeyland.com//nha-phao-dai-lang-5-tang-xay-moi-so-do-chuan-35m-x-6-ngu-o-to-cach-nha-30m-ngo-nong-nong-2-5m-1700369882021,"Đống Đa, Hà Nội","Nhà Pháo Đài Láng 5 tầng xây mới, sổ đỏ chuẩn đủ 35m2, 6 phòng ngủ, 20m ô tô tránh dừng đỗ, ngõ 2,5m",4,6,"165,71 Tr/m²"
64,https://meeyland.com//ban-nha-4-tang-noi-that-go-lim-quan-nam-tu-liem-ha-noi-gia-7-05-ty-1700471191909,"Nam Từ Liêm, Hà Nội","Bán nhà 4 tầng nội thất gỗ lim Quận Nam Từ Liêm - Hà Nội giá 7,05 Tỷ",,,"110,16 Tr/m²"
87,https://meeyland.com//ban-nha-mt-nguyen-trung-truc-7m5-ngay-khu-ban-phao-hoa-song-han-son-tra-5-7-ty-1700471311962,"Sơn Trà, Đà Nẵng","Bán nhà Mt Nguyễn Trung Trực, (7m5) ngay khu bắn pháo hoa sông Hàn, Sơn Trà 5.7 tỷ",2,4,"65,52 Tr/m²"
33,https://meeyland.com//ban-nha-6-tang-co-thang-may-tai-my-dinh-quan-nam-tu-liem-ha-noi-1700471081550,"Nam Từ Liêm, Hà Nội","Bán nhà 6 tầng có thang máy tại Mỹ Đình, quận Nam Từ Liêm, Hà Nội",,,"136,36 Tr/m²"
